"id","description","latitude","longitude"
964,"Strana pod vyhlídkou: 49.83138N 14.45542E. Vyvázaný strom, vyvedeno k hraně, chyceno ke stromu. Možnost vyvést ze dvou bodů, a chytit k tomu samému stromu. cca 20 m spansetů",49.831201,14.45414
965,"Evidentní ostroh nalevo pod vyhlídkou. 49.83072N 14.45384E. Kotvení za strom, vyvést na hranu ostrohu. cca 12m spansetů. 3 m spanset navíc k zafixování na hraně",49.829181,14.451114
966,,49.828627,14.467969
1009,"Obhoz, kámen. 8m spansetu cca",50.095078,14.321603
1010,Strom + strom(áčko). cca 10m spansetu.,50.094899,14.319517
1011,,50.093141,14.321907
958,strom,49.954038,14.174887
959,strom,49.954561,14.177427
960,,49.953933,14.179109
974,Západní kotvení za borovici daleko za hranou. Cca 21 m spansetů. Doporučuji nekotvit za velkou borovici hned na hraně. Celý sráz se sype.,49.90187,14.089423
975,,49.899381,14.090137
955,Strom,50.636298,15.702552
956,Strom,50.634248,15.701888
957,,50.636483,15.705994
1021,"Zavázat u kmene strom blíž ke skále a vyvést přes strom ve směru (5m spanset). Backup za ""opírací"" strom.",50.185238,14.084747
1022,Za břízu přímo na cestičce - 1m spanset. Backup za strom pár metrů opodál.,50.184347,14.085174
1023,,50.187519,14.087444
985,Strom  ,50.219052,14.312347
986,Strom ,50.218437,14.311816
987,,50.219368,14.310208
1003,"",50.54538,15.192463
1004,"",50.545385,15.191547
1005,,50.555193,15.192307
991,"Cca 7m spansetu. Kotvit za borovici a vysměrovat za břízu. 
Backup za jednu z několika borovic kolem.",50.602932,15.215202
992,"Cca 10m spansetu. Kotvit za borovici na masivu a vyvést do levé (těsnější) spáry na věži. Uzlík spojení spansetů nedávat do spáry. Po zatížení se spanset trochu zakousne, ale vyndat jde. Je lepší mít spanset v hadici a do spáry ho urovnat bez překrutů.
Backup za strom na cestě.",50.603442,15.215015
993,,50.601328,15.215335
994,Za borovici a zvednout do směru přes borovici u keře.,50.484001,15.133318
995,Za 1 ze 2 silněších borovic a vyvést na borovici úplně na hraně.,50.483639,15.132765
996,,50.490146,15.133915
988,"2 x 3m spanset za dobíráky.",50.5519,15.177536
989,"2m + 3m spanset za dobíráky.",50.552157,15.178267
990,,50.555561,15.192497
1033,"Severni svah nabizi hodne statnych stromu, za ktere lze kotvit i backupnout. Na hrane staci vyvest a zvednout pres dalsi smrk. Cca 10m.",50.106677,13.511168
1034,"Zel bohu, druha strana v den napinani velmi proridla a zbyl prakticky jediny zdravy a statny smrcek, za ktery slo kotvit. O zbytek se museli postarat drevorubci po kurovcim naletu... Backup za parez opodal, popr. mensi stromky vedle. Cca 5m.",50.106288,13.510879
1035,,50.106849,13.512581
1036,"Za borovici a vyvést k bříze ve stěně. Provléct skrz silnější kořeny tak, aby spanset vyšel ven těsně nad kmenem břízy. 5m spanset. Backup za vedlejší strom.",50.161744,14.10187
1037,"Za borovici a vyvést k pařezu na kraji. Provléct skrz ""nejživější"" část pařezu. 6 m spanset. Backup za vedlejší strom.",50.161748,14.102042
1038,,50.162909,14.101991
1051,"",49.950845,14.124302
1052,"",49.9505,14.124392
1053,,49.8439,15.47436
1054,Turbína - 3m spanset,50.094909,14.433031
1055,"Za stromy, vyvést přes zábradlí - cca 10m spansetů",50.095019,14.433561
1056,,49.8439,15.47436
1057,"Ořech 3m za hranou na poli, takže ""šponing"" je easy.",49.901796,15.814449
1058,Menší stromek přímo na hraně. Je potřeba ho vyvázat Y za další dva stromy za ním. ,49.901572,15.814672
1059,,49.906738,15.812942
931,Strom,49.946005,14.135058
1030,"Borovice 1m spanset, backup za strom vedle",50.16168,14.101802
1031,"Borovice 1m spanset, backup za strom vedle",50.161697,14.102085
1032,,50.162886,14.101992
949,strom,50.760345,15.050614
614,"",50.799169,14.055374
1045,obhoz cca. 6m za hrot vedle skalní věže Áňa ,50.783627,15.118999
1046,buk,50.783377,15.119671
1047,,50.784999,15.114496
1018,"Spojit strom o patro níž se dvěma silnějšími stromky na vrcholu. Na vzniklé ""véčko"" napojit spanset metodou Sliding-X a vyvést skrz A-frame na hranu. Celkově 34 + 2 m spansetu. Spansety opřené o skálu dobře zabandážovat na hranách. Backup za silnější strom na vrcholu, cca 10m.",50.185396,14.085099
850,Leva strana ( kdyz mas zastavku kvitkov po pravy ruce) je vejs takze strom kotveno nizko nad povrchem ,50.659146,14.482097
1042,strom na hraně,50.788573,15.103023
1043,strom na plošince,50.788465,15.103301
1044,,50.786733,15.111083
940,Obhoz příčného pilíře.,49.29674,14.480117
627,,50.729933,14.585902
1039,"strom + suchý strom (pro vyvázání aby šla lajna přesně mezi dva smrky, co rostou zdola)",50.48747,14.582653
1040,výrazná borovice,50.487896,14.582911
1041,,50.4892,14.599956
1025,"Borovice 1m spanset, zavázat ideálně ve 3m (dá se tam vyškrábat pomocí vedlejšího stromu). Backup za strom hned vedle.",50.161668,14.101823
1026,,50.162976,14.101945
881,na buku asi ve 4-5m výšky (nahodit větev a vylézt) - 3-4m spanset,50.483964,15.135769
