"id","entity_id","component_id","component_type","field","order"
1196,766,973,point.anchor-point,firstAnchorPoint,1
1197,766,974,point.anchor-point,secondAnchorPoint,1
1198,766,975,point.anchor-point,carParking,1
745,694,775,point.anchor-point,firstAnchorPoint,0
746,695,776,point.anchor-point,firstAnchorPoint,0
747,696,777,point.anchor-point,firstAnchorPoint,0
748,697,778,point.anchor-point,firstAnchorPoint,0
749,698,779,point.anchor-point,firstAnchorPoint,0
750,699,780,point.anchor-point,firstAnchorPoint,0
752,701,782,point.anchor-point,firstAnchorPoint,0
753,702,783,point.anchor-point,firstAnchorPoint,0
1199,760,955,point.anchor-point,firstAnchorPoint,1
1200,760,956,point.anchor-point,secondAnchorPoint,1
1201,760,957,point.anchor-point,carParking,1
757,704,787,point.anchor-point,firstAnchorPoint,0
758,704,788,point.anchor-point,secondAnchorPoint,0
759,704,789,point.anchor-point,carParking,0
1202,782,1021,point.anchor-point,firstAnchorPoint,1
1203,782,1022,point.anchor-point,secondAnchorPoint,1
1204,782,1023,point.anchor-point,carParking,1
763,706,793,point.anchor-point,firstAnchorPoint,0
764,706,794,point.anchor-point,secondAnchorPoint,0
765,706,795,point.anchor-point,carParking,0
766,707,796,point.anchor-point,firstAnchorPoint,0
767,707,797,point.anchor-point,secondAnchorPoint,0
768,707,798,point.anchor-point,carParking,0
769,708,799,point.anchor-point,firstAnchorPoint,0
770,708,800,point.anchor-point,secondAnchorPoint,0
1205,784,1027,point.anchor-point,firstAnchorPoint,1
771,708,801,point.anchor-point,carParking,0
775,710,805,point.anchor-point,firstAnchorPoint,0
776,710,806,point.anchor-point,secondAnchorPoint,0
777,710,807,point.anchor-point,carParking,0
778,711,808,point.anchor-point,firstAnchorPoint,0
779,711,809,point.anchor-point,secondAnchorPoint,0
780,711,810,point.anchor-point,carParking,0
784,713,814,point.anchor-point,firstAnchorPoint,0
785,713,815,point.anchor-point,secondAnchorPoint,0
786,713,816,point.anchor-point,carParking,0
787,714,817,point.anchor-point,firstAnchorPoint,0
788,714,818,point.anchor-point,secondAnchorPoint,0
789,714,819,point.anchor-point,carParking,0
793,716,823,point.anchor-point,firstAnchorPoint,0
794,716,824,point.anchor-point,secondAnchorPoint,0
795,716,825,point.anchor-point,carParking,0
796,717,826,point.anchor-point,firstAnchorPoint,0
797,717,827,point.anchor-point,secondAnchorPoint,0
798,717,828,point.anchor-point,carParking,0
799,718,829,point.anchor-point,firstAnchorPoint,0
800,718,830,point.anchor-point,secondAnchorPoint,0
801,718,831,point.anchor-point,carParking,0
805,720,835,point.anchor-point,firstAnchorPoint,0
806,720,836,point.anchor-point,secondAnchorPoint,0
807,720,837,point.anchor-point,carParking,0
1206,784,1028,point.anchor-point,secondAnchorPoint,1
1207,784,1029,point.anchor-point,carParking,1
1208,791,1048,point.anchor-point,firstAnchorPoint,1
1209,791,1049,point.anchor-point,secondAnchorPoint,1
1210,791,1050,point.anchor-point,carParking,1
1211,741,898,point.anchor-point,firstAnchorPoint,1
1212,741,899,point.anchor-point,secondAnchorPoint,1
1213,741,900,point.anchor-point,carParking,1
1214,770,985,point.anchor-point,firstAnchorPoint,1
817,724,847,point.anchor-point,firstAnchorPoint,0
818,724,848,point.anchor-point,secondAnchorPoint,0
819,724,849,point.anchor-point,carParking,0
1215,770,986,point.anchor-point,secondAnchorPoint,1
1216,770,987,point.anchor-point,carParking,1
1217,709,802,point.anchor-point,firstAnchorPoint,1
1218,709,803,point.anchor-point,secondAnchorPoint,1
1219,709,804,point.anchor-point,carParking,1
1220,747,916,point.anchor-point,firstAnchorPoint,1
1221,747,917,point.anchor-point,secondAnchorPoint,1
1222,747,918,point.anchor-point,carParking,1
1223,749,922,point.anchor-point,firstAnchorPoint,1
832,729,862,point.anchor-point,firstAnchorPoint,0
833,729,863,point.anchor-point,secondAnchorPoint,0
834,729,864,point.anchor-point,carParking,0
835,730,865,point.anchor-point,firstAnchorPoint,0
836,730,866,point.anchor-point,secondAnchorPoint,0
837,730,867,point.anchor-point,carParking,0
