"id","name","description","state","region","sector","length","height","author","name_history","date_tense","date_insertion","time_approach","time_tensioning","rating","created_at","updated_at","published_at","created_by_id","updated_by_id"
730,Sajgon,"<p>Highline lok&aacute;ln&iacute;ho v&yacute;znamu. Dobr&aacute; pro zač&aacute;tečnick&eacute; pad&aacute;n&iacute;, d&aacute; se j&iacute;t hned&nbsp; z kotvy ve stoje.<\/p>

<p>Př&iacute;stup od zast&aacute;vky trolejbusu Tyr&scaron;ův most (vedle je parkovi&scaron;tě). Most se přejde a hned za mostem jsou schody kter&eacute; v&aacute;s dovedou pod most.<br \/>
Ve směru lajny by měl b&yacute;t natažen&yacute; prov&aacute;zek, občas praskne tak d&aacute;v&aacute;me hned dal&scaron;&iacute;. Když nen&iacute;, nat&aacute;hne se instalace, kvuli přehozav&aacute;n&iacute; řeky.<\/p>
",,,,35,10,Jan Honzís Vít,"snad jendou z deseti napínání bylo hezky, jinak chčije a je hic --> prostě Sajgon",2016-06-28,,,,3,,,,,
728,vlhká,Horší kotvení. Skála šrot a keříky. ,Česká Republika,Hlavní město Praha,Hlubočepy,70,15,Lukáš Černý a spol.,Pro kamaráda Tomáše Urbana který snámi nemohl protože má zlomenou nohu. Turbo - Turboš - Luboš!,2016-01-10,,,,3,,2022-10-22 17:07:56.928,2022-10-22 13:33:39.333,,1
734,Kurvínek a ruměnka,"<p>Od hradu Kost př&iacute;mo do Plak&aacute;nku a za mostkem rovně do kopce, jedn&aacute; se o b&yacute;val&yacute; lom<\/p>
",,,,16,25,"Peeto, Kaštan, Kolouch","",2016-08-11,,,,1,,,,,
722,Časoprostor,Nejdelší highline v Alkazaru. Kwjetův projekt.,Česká Republika,středočeský,Srbsko,108,40,"Jakub ""Kwjet"" Hanuš","",2015-05-09,,,,3,,2022-10-22 12:22:10.804,2022-10-22 12:22:10.797,,1
733,Domací Stromajda,"Sedíš v parku u lognline a říkáš si že tě ty longline už moc neberou. Ale že nemáš kde tahat highline protože na skály se nemáš jak dostat. A tak čučíš do stromů jak blbej až tě to trkne. stromová midka 10 minut od baráku, jen tak cvičně.
Nic super ale přece nebudeš doma sedět když je tak hezky.
",Česká Republika,Hlavní město Praha,,12,7,Reaggi,"",2016-06-28,,,,1,,2022-10-22 12:35:31.640,2022-10-22 12:35:31.632,,1
735,Elfí karma,"Od hradu Kost přímo do Plakánku a za mostkem rovně do kopce, jedná se o bývalý lom. Obě kotvení strom.",Česká Republika,Český ráj,Kost,32,27,"Peeto, Kaštan, Kolouch","",2014-09-25,,,,1,,2022-10-22 12:39:56.585,2022-10-22 12:39:48.099,,1
727,Fishting,Pěkná midka při vypuštěné přehradě.,Česká Republika,Liberec,,30,5,štěp. & Barča,Ryba,2015-11-12,,,,0,,2022-10-22 12:42:45.272,2022-10-22 12:42:45.265,,1
737,Gotická,"Směr se nachází ve Skaláku mezi Majákem a Zelenáčem. Na obě věže pohodové (III) lezení. Při tahání věcí na Maják buď udělat mezistanoviště na balkónu, nebo mít druhé lano pro udržení báglů od skály, ať se neničí skála. Nejlépe tahat ve všední den (Maják je dost lezená věž) a rozhodně dodržovat všechna pravidla lezení a pohybu na pískovcích.",Česká Republika,Český ráj,Skalák,27,40,"Adam Z., Matty, Štěpinda, Barč","Napne-li se lajna podle popisu, tak při pohledu ze Zelenáče přímo kopíruje výraznou cestu ""Gotická hrana""",2016-08-25,,,,3,,2022-10-22 12:46:11.103,2022-10-22 12:46:11.098,,1
721,Jaan's Crossing,Lajna je situovaná v údolíčku mezi klasikami HippiePunk a Slackturn.  Obě strany obhoz. Celkem 16m spansetů (+hodně bandáží),Česká Republika,Ústecký,Ostrov - údolíčko,45,20,"","",2015-10-27,,,,3,,2022-10-22 13:00:08.838,2022-10-22 13:00:08.832,,1
736,Jizerýna,Další magická meta Jizerské Odysey na kopci Jizera v 1122 m.n.m.,Česká Republika,Liberec,Jizera,44,14,"Kolouch, Kaštan, Maty","Iseriny jsou drahokamy co se nacházely v Safírovém potoce na Jzerce apodle nich mají jizerky, potažmo Jizera svoje jméno... Nebo že by tomu bylo naopak? :)
 Kolouch",2016-08-11,,,,3,,2022-10-22 13:01:19.125,2022-10-22 13:01:19.116,,1
726,"Kamera jede, Akce!",Krátká lajna v krásném prostředí Satinských vodopádů,Česká Republika,Ostrava,,12,10,Zahradník Pavel,Během pnutí se nahrnulo 15 lidi od televize a točili nějakou reklamu,2015-09-17,,,,3,,2022-10-22 13:04:44.024,2022-10-22 13:04:44.017,,1
723,IPM,"Midka nad jezírkem u Jirkova. Je to strom - 2 stromy. Jedna strana se kotví u mraveniště za břízkou, druhé kotvení je od břízy vidět přes jezírko. Na druhé straně jsou 2 stromy, spansety (2m + 3m) mezi ně mají pěkný úhel a relativně dobře se tam zakládají kladky. (PS: Nechte si vyprávět od Štěpána T., když máte krátkou lajnu). Je potřeba 40+m lajna, 2× 2m, 1× 3m + lano na backup břízy pro jistotu :)",Česká republika,Liberecký,Český ráj (Jirkov),40,7,"","Skáčete do vody a vylejzáte plní pulců, jdete kotvit midku, odcházíte pokousaní od obřích mravenců. Pokud jdete kotvit midku potom co jste přeplavali jezírko je to Invaze Pulců na Mravence :)",2017-04-23,,,,0,,2022-10-22 13:07:10.690,2022-10-22 12:58:58.811,,1
732,Klepadlo,"<p>Přistup ke kotv&aacute;m je s krosnou po svejch až na m&iacute;sto, cca 150 metrů od parkovi&scaron;tě, Klepadlo je ta nejdel&scaron;&iacute; možnost co lom nab&iacute;z&iacute;.<br \/>
Možnost SPACELINE !!!<\/p>
",Česká Republika,Český les,,40,12,Jan Honzís Vít,Vyklepávka maximální,2016-06-28,,,,0,,2022-10-22 13:08:33.310,2022-10-22 13:08:33.297,,1
